VARIABLES="N","h=N^(-1/3)","h^2=N^(-2/3)","CL","CD","CDp","CDv","CMy" "max_MUT"
ZONE, t="FUN3D-FV+refine, Mach-Lp=2, Step"
586 0.119499877841375 0.0142802208041035 -0.9473744+144 0.6334962+144 0.6334962+144 -0.1167865E+10 0.5275135+143 0
103873 0.0212731813170404 0.000452548243347678 0.1236147E-02 0.3007823E-01 0.2951304E-01 0.5651934E-03 0.7034458E-03 0
119534 0.0203003183747644 0.000412102926116797 0.2834208E-03 0.2289196E-01 0.1069097E-01 0.1220099E-01 -0.1326123E-03 0
119343 0.0203111423420031 0.000412542503237112 -0.4329878E-04 0.1943018E-01 0.5677761E-02 0.1375241E-01 0.7476072E-05 0
116129 0.0204968176722553 0.000420119534689678 0.2108934E-04 0.1619547E-01 0.4213887E-02 0.1198158E-01 -0.2592284E-04 0
114694 0.0205819459608662 0.000423616499536017 0.4228110E-04 0.1398258E-01 0.3360239E-02 0.1062234E-01 -0.2021464E-04 0
116383 0.0204818957228753 0.000419508052402737 -0.7708610E-05 0.1373972E-01 0.3015752E-02 0.1072397E-01 0.1428728E-04 0
121633 0.0201828671015494 0.000407348124438803 -0.3486544E-04 0.1335979E-01 0.2750615E-02 0.1060918E-01 0.1038215E-04 0
124177 0.0200440869878518 0.000401765423176569 0.1434079E-04 0.1324745E-01 0.2716131E-02 0.1053132E-01 0.6460295E-05 0
124241 0.020040644640847 0.000401627437620711 0.9105215E-05 0.1338643E-01 0.2894995E-02 0.1049143E-01 0.1030568E-04 0
229602 0.0163308244779224 0.00026669582812871 0.2860520E-04 0.1210885E-01 0.1666204E-02 0.1044265E-01 -0.1930690E-05 0
234538 0.0162154470916566 0.000262940724382313 -0.1930425E-04 0.1208369E-01 0.1657043E-02 0.1042665E-01 -0.3288598E-06 0
236603 0.0161681346615065 0.000261408578432607 0.1966881E-04 0.1212640E-01 0.1690074E-02 0.1043633E-01 -0.7035565E-05 0
235893 0.01618433957617 0.000261932847516783 -0.4167866E-04 0.1213427E-01 0.1704239E-02 0.1043003E-01 0.1008665E-04 0
236924 0.016160829482215 0.000261172409553228 -0.1994406E-04 0.1214072E-01 0.1718639E-02 0.1042209E-01 0.5196887E-05 0
337889 0.0143573839799762 0.000206134474748477 -0.1074684E-04 0.1185983E-01 0.1407318E-02 0.1045251E-01 0.3843776E-05 0
343465 0.0142792644706339 0.000203897393822307 -0.2453430E-04 0.1185661E-01 0.1398179E-02 0.1045843E-01 0.6712801E-05 0
345800 0.0142470518117308 0.000202978485326141 0.4547964E-06 0.1186023E-01 0.1408239E-02 0.1045199E-01 0.1823429E-05 0
346429 0.0142384239498347 0.000202732716575226 -0.1781785E-04 0.1186283E-01 0.1409382E-02 0.1045345E-01 0.4260417E-05 0
345703 0.0142483842028216 0.000203016452391217 -0.1867438E-04 0.1185562E-01 0.1407347E-02 0.1044828E-01 0.2831107E-05 0
444969 0.0130985558069034 0.000171572164226563 -0.4817867E-06 0.1174872E-01 0.1276873E-02 0.1047185E-01 -0.6458016E-06 0
448217 0.0130668395547764 0.00017074229595027 0.1964231E-04 0.1174527E-01 0.1268862E-02 0.1047641E-01 0.7786878E-06 0
450319 0.0130464766979483 0.000170210554230108 -0.8124934E-06 0.1174749E-01 0.1273756E-02 0.1047373E-01 0.1256783E-05 0
451058 0.0130393478169304 0.000170024591490888 0.6269376E-05 0.1174425E-01 0.1276970E-02 0.1046728E-01 -0.4411555E-06 0
450536 0.0130443817561497 0.000170155895400172 0.3949256E-04 0.1174612E-01 0.1273359E-02 0.1047276E-01 -0.7850535E-05 0
