VARIABLES="N","h=(1/N)^(1/3)","h^2=(1/N)^(2/3)","C_L","C_D","C_Dp","C_Dv","C_My","max_MUT"
# Hemisphere Cylinder Mach = 0.6, Re = 0.35 million based on cylinder diameter, Tref = 540 deg-R
#
# CFL3D on Hex grids (structured code):
ZONE, t="CFL3D SA-neg, FO turb, Structured, AoA=0-deg"
  153600 0.18673E-01 0.34866E-03 1.552647E-02  1.456068E-02  0.399241E-02  1.056827E-02 -2.695868E-03 2.2209715E+02
ZONE, t="USM3D SA-neg, FO turb, Structured, AoA=10-deg"
78643200 0.23341E-02 0.54479E-05 3.416181E-02  1.599886E-02  0.459618E-02  1.140268E-02 -7.187245E-03 3.9280152E+02
 9830400 0.46681E-02 0.21791E-04 3.424516E-02  1.606880E-02  0.466321E-02  1.140559E-02 -7.276495E-03 3.7407101E+02
 1228800 0.93363E-02 0.87166E-04 3.443674E-02  1.643787E-02  0.503285E-02  1.140502E-02 -7.495595E-03 3.3265451E+02
  153600 0.18673E-01 0.34866E-03 3.519581E-02  1.845840E-02  0.710487E-02  1.135353E-02 -8.106675E-03 2.4304625E+02
ZONE, t="USM3D SA-neg, FO turb, Structured, AoA=15-deg"
78643200 0.23341E-02 0.54479E-05 6.043339E-02  2.399446E-02  0.118447E-01  1.214977E-02 -1.618125E-02 8.1876254E+02
 9830400 0.46681E-02 0.21791E-04 6.061661E-02  2.410764E-02  0.119461E-01  1.216158E-02 -1.637627E-02 7.4072944E+02
 1228800 0.93363E-02 0.87166E-04 6.085386E-02  2.452953E-02  0.123472E-01  1.218238E-02 -1.674590E-02 5.7195752E+02
  153600 0.18673E-01 0.34866E-03 6.182742E-02  2.675715E-02  0.145634E-01  1.219373E-02 -1.784955E-02 3.4708655E+02
ZONE, t="USM3D SA-neg, FO turb, Structured, AoA=19-deg"
78643200 0.23341E-02 0.54479E-05 8.626640E-02  3.468565E-02  0.221211E-01  1.256458E-02 -2.586680E-02 1.4183119E+03
 9830400 0.46681E-02 0.21791E-04 8.672750E-02  3.492632E-02  0.223342E-01  1.259215E-02 -2.630026E-02 1.2523895E+03
 1228800 0.93363E-02 0.87166E-04 8.720454E-02  3.545778E-02  0.228387E-01  1.261909E-02 -2.701590E-02 9.0237495E+02
  153600 0.18673E-01 0.34866E-03 8.742511E-02  3.752691E-02  0.248821E-01  1.264484E-02 -2.793459E-02 4.4706486E+02

# FUN3D on Tet grids:
ZONE, t="FUN3D SA-neg, AoA=0, Tet"
71368353  0.2410819942E-02  0.5812052791E-05  0.3096770316E-05  0.1119896533E-01  0.9039494409E-03  0.1029501589E-01 -0.3528786587E-06  0.1576815528E+03
 8995153  0.4808361913E-02  0.2312034428E-04  0.6509175668E-05  0.1139480322E-01  0.1083774003E-02  0.1031102921E-01 -0.1148708976E-05  0.1597764470E+03
 1143081  0.9564031503E-02  0.9147069859E-04 -0.9201246824E-08  0.1193014457E-01  0.1646091718E-02  0.1028405285E-01  0.8728978746E-09  0.1674492542E+03
  147637  0.1892060109E-01  0.3579891456E-03  0.6526912506E-04  0.1500290217E-01  0.4929433922E-02  0.1007346825E-01 -0.1529167918E-04  0.1744531929E+03
   19683  0.3703703704E-01  0.1371742112E-02  0.2496806643E-03  0.2456399279E-01  0.1603898162E-01  0.8525011170E-02 -0.1551853321E-04  0.2221611280E+03
ZONE, t="FUN3D SA-neg, AoA=5, Tet"
71368353  0.2410819942E-02  0.5812052791E-05  0.1484065707E-01  0.1224852289E-01  0.1657077865E-02  0.1059144503E-01 -0.2155197450E-02  0.2444127596E+03
 8995153  0.4808361913E-02  0.2312034428E-04  0.1490494455E-01  0.1245898062E-01  0.1809878953E-02  0.1064910166E-01 -0.2214622438E-02  0.2331161903E+03
 1143081  0.9564031503E-02  0.9147069859E-04  0.1510282016E-01  0.1324835082E-01  0.2617714999E-02  0.1063063582E-01 -0.2372026705E-02  0.2228244870E+03
  147637  0.1892060109E-01  0.3579891456E-03  0.1609415518E-01  0.1624557423E-01  0.5804074022E-02  0.1044150021E-01 -0.3046568504E-02  0.2254535316E+03
   19683  0.3703703704E-01  0.1371742112E-02  0.2074661393E-01  0.2655165767E-01  0.1750397877E-01  0.9047678895E-02 -0.6029584804E-02  0.2945682245E+03
ZONE, t="FUN3D SA-neg, AoA=10, Tet"
71368353  0.2410819942E-02  0.5812052791E-05  0.3407719321E-01  0.1604466542E-01  0.4583360647E-02  0.1146130477E-01 -0.7116133902E-02  0.3871542107E+03
 8995153  0.4808361913E-02  0.2312034428E-04  0.3412859108E-01  0.1625632078E-01  0.4772639802E-02  0.1148368098E-01 -0.7187940560E-02  0.3456732066E+03
 1143081  0.9564031503E-02  0.9147069859E-04  0.3447320393E-01  0.1709080505E-01  0.5634195016E-02  0.1145661003E-01 -0.7504364508E-02  0.2954838434E+03
  147637  0.1892060109E-01  0.3579891456E-03  0.3609076558E-01  0.2030226462E-01  0.9088051367E-02  0.1121421325E-01 -0.8684018064E-02  0.2467166213E+03
   19683  0.3703703704E-01  0.1371742112E-02  0.4501759192E-01  0.3253719434E-01  0.2260548773E-01  0.9931706616E-02 -0.1451098729E-01  0.3631777369E+03
ZONE, t="FUN3D SA-neg, AoA=15, Tet"
71368353  0.2410819942E-02  0.5812052791E-05  0.5985104724E-01  0.2390453694E-01  0.1167243736E-01  0.1223209958E-01 -0.1577742395E-01  0.8210168633E+03
 8995153  0.4808361913E-02  0.2312034428E-04  0.5963021245E-01  0.2405048930E-01  0.1178704830E-01  0.1226344101E-01 -0.1573883093E-01  0.6647878610E+03
 1143081  0.9564031503E-02  0.9147069859E-04  0.5957636349E-01  0.2482817229E-01  0.1257990536E-01  0.1224826693E-01 -0.1595290121E-01  0.4544933842E+03
