0.0218126 	      96356 	  0.0224505 	  0.0223905 	  6.00072e-05 	 0.23827 	 -0.168472 
0.0204329 	     117222 	  0.0188536 	  0.0187421 	  0.00011145 	 0.231116 	 -0.160891 
0.0201051 	     123049 	  0.0171818 	  0.0169833 	  0.000198475 	 0.23234 	 -0.159605 
0.0200268 	     124499 	  0.0165267 	  0.0161232 	  0.000403558 	 0.239257 	 -0.16439 
0.0200228 	     124573 	  0.0166193 	  0.0163137 	  0.000305521 	 0.236847 	 -0.162622 
0.0198151 	     128532 	  0.0164868 	  0.0159963 	  0.000490457 	 0.241688 	 -0.166307 
0.0197394 	     130016 	  0.0164285 	  0.0158643 	  0.000564176 	 0.244207 	 -0.168803 
0.0197043 	     130713 	  0.0163349 	  0.0157122 	  0.000622736 	 0.24359 	 -0.167821 
0.0196621 	     131555 	  0.0162006 	  0.0155189 	  0.000681703 	 0.243513 	 -0.167415 
0.0196462 	     131875 	  0.0162421 	  0.0155196 	  0.000722477 	 0.243925 	 -0.16791 
0.0163978 	     226802 	  0.0154251 	  0.0143655 	  0.00105962 	 0.245762 	 -0.168887 
0.0159901 	     244596 	  0.0152967 	  0.0137837 	  0.001513 	 0.247182 	 -0.169686 
0.0158576 	     250778 	  0.0153892 	  0.0133793 	  0.00200987 	 0.248073 	 -0.17002 
0.0158277 	     252203 	  0.0155875 	  0.0131135 	  0.00247402 	 0.250453 	 -0.171992 
0.0157789 	     254547 	  0.0158856 	  0.0130557 	  0.0028299 	 0.253036 	 -0.174255 
0.0157703 	     254966 	  0.0161757 	  0.013048 	  0.00312767 	 0.25608 	 -0.177013 
0.0157468 	     256107 	  0.0165524 	  0.013124 	  0.00342834 	 0.261596 	 -0.182555 
0.015745 	     256196 	  0.0163766 	  0.0130792 	  0.00329736 	 0.259047 	 -0.180028 
0.0157087 	     257974 	  0.0166308 	  0.0131147 	  0.00351617 	 0.262565 	 -0.183622 
0.0156921 	     258795 	  0.0167501 	  0.0131635 	  0.00358662 	 0.264066 	 -0.185106 
0.0130472 	     450247 	  0.0168409 	  0.0127364 	  0.00410449 	 0.266232 	 -0.186994 
0.012718 	     486118 	  0.0168428 	  0.0125449 	  0.0042979 	 0.267108 	 -0.18763 
0.0126178 	     497797 	  0.0168727 	  0.0124971 	  0.00437565 	 0.267666 	 -0.188129 
0.0125643 	     504178 	  0.0169254 	  0.0124717 	  0.00445362 	 0.268003 	 -0.18855 
0.0125364 	     507551 	  0.0169397 	  0.0124339 	  0.00450588 	 0.26812 	 -0.18863 
0.0125099 	     510782 	  0.0169691 	  0.0124295 	  0.00453956 	 0.2685 	 -0.189121 
0.0125029 	     511647 	  0.0170361 	  0.0124838 	  0.00455236 	 0.269131 	 -0.189802 
0.0124806 	     514391 	  0.0170194 	  0.0124431 	  0.00457633 	 0.268717 	 -0.189314 
0.0124679 	     515962 	  0.0170453 	  0.0124555 	  0.00458981 	 0.268735 	 -0.18938 
0.012462 	     516693 	  0.017041 	  0.0124514 	  0.00458963 	 0.268865 	 -0.189528 
0.0103959 	     890042 	  0.0170717 	  0.0122517 	  0.00482002 	 0.269759 	 -0.190366 
0.0101348 	     960639 	  0.0170552 	  0.0121796 	  0.00487562 	 0.269697 	 -0.190177 
0.010037 	     988992 	  0.0170556 	  0.0121408 	  0.00491482 	 0.269524 	 -0.189965 
0.00998165 	    1005526 	  0.0170693 	  0.0121307 	  0.00493862 	 0.269593 	 -0.190058 
0.00995581 	    1013374 	  0.0171087 	  0.0121457 	  0.00496297 	 0.269747 	 -0.190233 
0.00995528 	    1013538 	  0.0170939 	  0.0121339 	  0.00495991 	 0.269693 	 -0.190159 
0.00994473 	    1016767 	  0.0171094 	  0.0121436 	  0.00496587 	 0.269897 	 -0.190448 
0.00993676 	    1019213 	  0.0171453 	  0.0121743 	  0.00497096 	 0.270269 	 -0.190768 
0.00993221 	    1020615 	  0.0171555 	  0.0121779 	  0.00497759 	 0.270399 	 -0.190895 
0.0099224 	    1023646 	  0.0169063 	  0.0119587 	  0.00494762 	 0.266025 	 -0.186748 
0.00828418 	    1758939 	  0.0171624 	  0.0120575 	  0.00510485 	 0.270722 	 -0.191308 
0.00807793 	    1897143 	  0.0170358 	  0.011925 	  0.00511077 	 0.268916 	 -0.189532 
0.00799559 	    1956361 	  0.0171394 	  0.0120235 	  0.00511596 	 0.270967 	 -0.191523 
0.00796146 	    1981623 	  0.0171738 	  0.0120596 	  0.00511422 	 0.271534 	 -0.192045 
0.0079273 	    2007354 	  0.0171648 	  0.0120416 	  0.0051232 	 0.271461 	 -0.192003 
0.00791511 	    2016647 	  0.0171146 	  0.0119957 	  0.0051189 	 0.2708 	 -0.191257 
0.00790576 	    2023808 	  0.0171894 	  0.0120728 	  0.00511656 	 0.271778 	 -0.192232 
0.00790134 	    2027208 	  0.0171366 	  0.012016 	  0.00512054 	 0.270814 	 -0.191276 
